Date,CLOSE,HIGH,LOW,OPEN,COUNT
2019-10-23,1.1129,1.1139,1.1104,1.1123,77540.0
2019-10-24,1.1104,1.1162,1.1091,1.1129,77933.0
2019-10-25,1.1078,1.1122,1.1071,1.1103,66888.0
2019-10-28,1.1098,1.1107,1.1074,1.108,49680.0
2019-10-29,1.111,1.1118,1.1072,1.1097,56626.0
2019-10-30,1.1148,1.1151,1.1078,1.111,71389.0
2019-10-31,1.115,1.1174,1.1129,1.1149,84758.0
2019-11-01,1.1165,1.1171,1.1126,1.115,67556.0
2019-11-04,1.1126,1.1175,1.1123,1.1165,66795.0
2019-11-05,1.1074,1.114,1.1062,1.1126,81704.0
2019-11-06,1.1065,1.1093,1.1063,1.1073,73328.0
2019-11-07,1.1049,1.1091,1.1034,1.1065,84045.0
2019-11-08,1.1016,1.1055,1.1015,1.1048,56672.0
2019-11-11,1.1032,1.1043,1.1015,1.1021,45866.0
2019-11-12,1.1007,1.1038,1.1001,1.1031,58976.0
2019-11-13,1.1006,1.102,1.0993,1.1009,64757.0
2019-11-14,1.1021,1.1027,1.0987,1.1004,68060.0
2019-11-15,1.105,1.1057,1.1013,1.102,65271.0
2019-11-18,1.107,1.109,1.1046,1.105,64201.0
2019-11-19,1.1078,1.1083,1.1061,1.107,67017.0
2019-11-20,1.1072,1.1081,1.1051,1.1077,75061.0
2019-11-21,1.1057,1.1096,1.105,1.1072,70472.0
2019-11-22,1.1022,1.1085,1.1013,1.1057,65361.0
2019-11-25,1.1013,1.1032,1.1002,1.1023,57550.0
2019-11-26,1.1018,1.1025,1.1005,1.1012,60856.0
2019-11-27,1.0998,1.1024,1.099,1.1018,61755.0
2019-11-28,1.1007,1.1018,1.0997,1.0997,60178.0
2019-11-29,1.1015,1.1028,1.0979,1.1007,57114.0
2019-12-02,1.1077,1.1089,1.1001,1.1012,62320.0
2019-12-03,1.1081,1.1093,1.1064,1.1077,67153.0
2019-12-04,1.1076,1.1115,1.1065,1.108,65258.0
2019-12-05,1.1102,1.1108,1.1076,1.1077,53756.0
2019-12-06,1.1057,1.1109,1.1038,1.1104,47040.0
2019-12-09,1.1062,1.1078,1.105,1.1054,42704.0
2019-12-10,1.1092,1.1097,1.1061,1.1063,59629.0
2019-12-11,1.1128,1.1144,1.1068,1.109,62711.0
2019-12-12,1.1128,1.1154,1.1101,1.1128,67590.0
2019-12-13,1.1119,1.1199,1.111,1.1128,81104.0
2019-12-16,1.1142,1.1158,1.1121,1.1121,55190.0
2019-12-17,1.1149,1.1175,1.1127,1.1141,58497.0
2019-12-18,1.1111,1.1154,1.1109,1.1148,54791.0
2019-12-19,1.112,1.1144,1.1106,1.1111,53356.0
2019-12-20,1.1078,1.1125,1.1064,1.112,49590.0
2019-12-23,1.1086,1.1095,1.1068,1.1079,48041.0
2019-12-24,1.1087,1.1094,1.1068,1.1088,55941.0
2019-12-25,1.109,1.1105,1.1071,1.1087,16739.0
2019-12-26,1.1096,1.1109,1.108,1.109,30960.0
2019-12-27,1.1175,1.1187,1.1094,1.1095,51372.0
2019-12-30,1.1197,1.1222,1.1169,1.1173,51637.0
2019-12-31,1.121,1.1239,1.1196,1.1196,43320.0
2020-01-01,1.121,1.1222,1.1204,1.1212,422.0
2020-01-02,1.117,1.1225,1.1162,1.121,43897.0
2020-01-03,1.1158,1.118,1.1123,1.117,56620.0
2020-01-06,1.1193,1.1206,1.1153,1.1166,58883.0
2020-01-07,1.1151,1.1197,1.1131,1.1196,69970.0
2020-01-08,1.1103,1.1168,1.11,1.1152,87764.0
2020-01-09,1.1105,1.112,1.1091,1.1104,71073.0
2020-01-10,1.112,1.1129,1.1083,1.1104,63104.0
2020-01-13,1.1133,1.1146,1.1111,1.1123,64888.0
2020-01-14,1.1127,1.1144,1.1102,1.1133,75222.0
2020-01-15,1.1149,1.1163,1.1117,1.1128,73334.0
2020-01-16,1.1135,1.1172,1.1126,1.1149,63959.0
2020-01-17,1.1088,1.1142,1.1084,1.1135,51680.0
2020-01-20,1.1094,1.1102,1.1075,1.109,48779.0
2020-01-21,1.1082,1.1118,1.1079,1.1094,59802.0
2020-01-22,1.1091,1.1098,1.1068,1.1082,61010.0
2020-01-23,1.1052,1.1108,1.1035,1.1091,51046.0
2020-01-24,1.1023,1.1061,1.1018,1.1053,56271.0
2020-01-27,1.1016,1.1037,1.1008,1.1019,66687.0
2020-01-28,1.102,1.1025,1.0996,1.1018,63239.0
2020-01-29,1.1009,1.1027,1.099,1.1021,66917.0
2020-01-30,1.103,1.1038,1.1004,1.1008,71941.0
2020-01-31,1.1093,1.1096,1.1015,1.1031,69737.0
2020-02-03,1.1058,1.1095,1.1034,1.1091,63799.0
2020-02-04,1.1042,1.1064,1.1031,1.1058,71241.0
2020-02-05,1.0997,1.1047,1.0992,1.1044,71875.0
2020-02-06,1.098,1.1013,1.0963,1.0999,72556.0
2020-02-07,1.0943,1.0985,1.094,1.0981,69263.0
2020-02-10,1.0909,1.0957,1.0906,1.0949,75920.0
2020-02-11,1.0914,1.0924,1.0889,1.091,73605.0
2020-02-12,1.0871,1.0925,1.0863,1.0914,71517.0
2020-02-13,1.084,1.0888,1.0832,1.0872,74397.0
2020-02-14,1.083,1.0861,1.0826,1.0839,71961.0
2020-02-17,1.0834,1.085,1.082,1.083,57615.0
2020-02-18,1.0791,1.0837,1.0784,1.0836,79007.0
2020-02-19,1.0804,1.0811,1.078,1.079,78970.0
2020-02-20,1.0783,1.082,1.0775,1.0804,79089.0
2020-02-21,1.0843,1.0863,1.0782,1.0783,72956.0
2020-02-24,1.0852,1.0871,1.0803,1.0839,80313.0
2020-02-25,1.0879,1.089,1.0828,1.0852,95392.0
2020-02-26,1.0879,1.0908,1.0853,1.0879,96541.0
2020-02-27,1.0998,1.1005,1.0877,1.088,96551.0
2020-02-28,1.1025,1.1053,1.0949,1.0999,103281.0
2020-03-02,1.1132,1.1185,1.1001,1.1001,112471.0
2020-03-03,1.1171,1.1212,1.1093,1.1131,111384.0
2020-03-04,1.1134,1.1186,1.1093,1.117,99181.0
2020-03-05,1.1239,1.1244,1.1118,1.1134,95964.0
2020-03-06,1.1285,1.1354,1.121,1.1236,120585.0
2020-03-09,1.1447,1.1492,1.1282,1.1291,140682.0
2020-03-10,1.1279,1.1458,1.1273,1.1445,130043.0
2020-03-11,1.1267,1.1366,1.1256,1.1279,136108.0
2020-03-12,1.1183,1.1333,1.1054,1.1267,141452.0
2020-03-13,1.1105,1.1221,1.1053,1.1183,150518.0
2020-03-16,1.1181,1.1236,1.1044,1.1083,140342.0
2020-03-17,1.0996,1.1188,1.0953,1.1181,135652.0
2020-03-18,1.0913,1.1044,1.08,1.0995,142401.0
2020-03-19,1.069,1.098,1.0653,1.0913,154128.0
2020-03-20,1.0694,1.0831,1.0636,1.069,157424.0
2020-03-23,1.0721,1.0827,1.0635,1.0694,142133.0
2020-03-24,1.0787,1.0887,1.072,1.0724,140567.0
2020-03-25,1.088,1.0893,1.0759,1.0787,141889.0
2020-03-26,1.1028,1.1058,1.0867,1.088,135713.0
2020-03-27,1.114,1.1146,1.0952,1.1029,137100.0
2020-03-30,1.1046,1.1143,1.1008,1.1135,120263.0
2020-03-31,1.1029,1.1054,1.0925,1.1048,132039.0
2020-04-01,1.0962,1.1039,1.0901,1.1029,127792.0
2020-04-02,1.0856,1.0968,1.0819,1.0962,131830.0
2020-04-03,1.0808,1.0864,1.0771,1.0856,114662.0
2020-04-06,1.0791,1.0834,1.0766,1.0813,115259.0
2020-04-07,1.0889,1.0924,1.0782,1.0791,140120.0
2020-04-08,1.0856,1.0902,1.0828,1.0889,128095.0
2020-04-09,1.0927,1.0951,1.0839,1.0855,116287.0
2020-04-10,1.0935,1.0951,1.0917,1.0928,62119.0
2020-04-13,1.0913,1.0967,1.0891,1.0941,62168.0
2020-04-14,1.0979,1.0987,1.0902,1.0912,110474.0
2020-04-15,1.0907,1.099,1.0855,1.0979,111309.0
2020-04-16,1.0835,1.0912,1.0815,1.0909,128708.0
2020-04-17,1.0876,1.0892,1.081,1.0833,129164.0
2020-04-20,1.0862,1.0896,1.0839,1.0873,114317.0
2020-04-21,1.0856,1.088,1.0814,1.086,121507.0
2020-04-22,1.0822,1.0885,1.08,1.0855,114980.0
2020-04-23,1.0776,1.0846,1.0754,1.0822,121043.0
2020-04-24,1.082,1.0829,1.0725,1.0776,119650.0
2020-04-27,1.0828,1.0861,1.0806,1.0808,113186.0
2020-04-28,1.0818,1.0888,1.0808,1.0828,132701.0
2020-04-29,1.0873,1.0885,1.0816,1.0818,131413.0
2020-04-30,1.0955,1.0971,1.0831,1.087,122442.0
2020-05-01,1.0983,1.1017,1.0933,1.0954,91361.0
2020-05-04,1.0906,1.098,1.0894,1.098,87751.0
2020-05-05,1.0838,1.0925,1.0824,1.0905,100330.0
2020-05-06,1.0794,1.0847,1.078,1.0835,106062.0
2020-05-07,1.0832,1.0834,1.0765,1.0794,109253.0
2020-05-08,1.084,1.0875,1.0813,1.0831,104971.0
2020-05-11,1.0806,1.085,1.0799,1.0836,96779.0
2020-05-12,1.0846,1.0884,1.0783,1.0805,125122.0
2020-05-13,1.0816,1.0895,1.081,1.0846,119988.0
2020-05-14,1.0804,1.0824,1.0773,1.0818,115476.0
2020-05-15,1.0815,1.0849,1.0787,1.0803,98478.0
2020-05-18,1.0912,1.0926,1.0798,1.0815,90582.0
2020-05-19,1.0921,1.0976,1.09,1.0911,112063.0
2020-05-20,1.0977,1.0999,1.0916,1.0926,118503.0
2020-05-21,1.0949,1.1008,1.0935,1.0978,109499.0
2020-05-22,1.09,1.0959,1.0884,1.0948,118983.0
2020-05-25,1.0899,1.0914,1.0869,1.0902,65121.0
2020-05-26,1.098,1.0995,1.089,1.0898,100331.0
2020-05-27,1.1003,1.103,1.0932,1.0982,123597.0
2020-05-28,1.1076,1.1093,1.099,1.1003,121593.0
2020-05-29,1.1098,1.1144,1.1068,1.1076,119665.0
2020-06-01,1.1134,1.1153,1.1094,1.1096,103975.0
2020-06-02,1.1169,1.1195,1.1113,1.1135,128727.0
2020-06-03,1.1232,1.1256,1.1165,1.117,136518.0
2020-06-04,1.1336,1.1361,1.1193,1.1232,123945.0
2020-06-05,1.1284,1.1383,1.1277,1.1336,118688.0
2020-06-08,1.1292,1.1319,1.1266,1.1287,92171.0
2020-06-09,1.134,1.1364,1.1239,1.1295,119414.0
2020-06-10,1.1369,1.1422,1.1321,1.1339,120986.0
2020-06-11,1.1297,1.1403,1.1286,1.1372,144069.0
2020-06-12,1.1254,1.134,1.1211,1.1297,119104.0
2020-06-15,1.1322,1.1333,1.1225,1.1245,127455.0
2020-06-16,1.1263,1.1352,1.1226,1.1323,120590.0
2020-06-17,1.1243,1.1294,1.1205,1.1263,137107.0
2020-06-18,1.1202,1.1262,1.1184,1.1242,125419.0
2020-06-19,1.1175,1.1254,1.1167,1.1203,122265.0
2020-06-22,1.1258,1.1269,1.1167,1.1183,109675.0
2020-06-23,1.1306,1.1348,1.1231,1.1258,131868.0
2020-06-24,1.125,1.1325,1.1247,1.1307,121539.0
2020-06-25,1.1217,1.126,1.1189,1.125,130058.0
2020-06-26,1.1217,1.1239,1.1193,1.1217,117837.0
2020-06-29,1.124,1.1288,1.1215,1.1225,120440.0
2020-06-30,1.1231,1.1261,1.1189,1.124,125661.0
2020-07-01,1.125,1.1274,1.1183,1.1231,98496.0
2020-07-02,1.1238,1.1302,1.1221,1.125,109992.0
2020-07-03,1.1248,1.1253,1.1217,1.1238,117328.0
2020-07-06,1.1308,1.1345,1.1238,1.124,92463.0
2020-07-07,1.127,1.1332,1.1257,1.1306,118915.0
2020-07-08,1.1329,1.1351,1.126,1.1271,114708.0
2020-07-09,1.1281,1.137,1.1278,1.1327,102922.0
2020-07-10,1.1298,1.1324,1.1253,1.1284,92411.0
2020-07-13,1.134,1.1374,1.1295,1.1299,94596.0
2020-07-14,1.1396,1.1408,1.1323,1.1341,122200.0
2020-07-15,1.141,1.1451,1.1389,1.1398,114093.0
2020-07-16,1.1383,1.1442,1.1369,1.1409,117851.0
2020-07-17,1.1426,1.1443,1.1376,1.1382,104774.0
2020-07-20,1.1444,1.1467,1.14,1.1408,91329.0
2020-07-21,1.1526,1.1539,1.1421,1.1447,91417.0
2020-07-22,1.1568,1.16,1.1505,1.1527,98975.0
2020-07-23,1.1594,1.1626,1.1538,1.1573,101833.0
2020-07-24,1.1654,1.1658,1.1579,1.1595,107483.0
2020-07-27,1.1751,1.1781,1.1635,1.1646,102175.0
2020-07-28,1.1714,1.1773,1.1697,1.1751,103297.0
2020-07-29,1.179,1.1805,1.1712,1.1716,99769.0
2020-07-30,1.1846,1.1848,1.1729,1.1786,119561.0
2020-07-31,1.1774,1.1908,1.1758,1.1844,111287.0
2020-08-03,1.1761,1.1796,1.1694,1.1781,97016.0
2020-08-04,1.18,1.1806,1.1719,1.1763,90140.0
2020-08-05,1.1861,1.1905,1.1791,1.18,106240.0
2020-08-06,1.1875,1.1915,1.1816,1.1862,121224.0
2020-08-07,1.1786,1.1883,1.1754,1.1875,102811.0
2020-08-10,1.1736,1.1801,1.1734,1.1786,87414.0
2020-08-11,1.1739,1.1807,1.1721,1.1736,101793.0
2020-08-12,1.1782,1.1814,1.1709,1.1738,81069.0
2020-08-13,1.1812,1.1864,1.1779,1.1784,93336.0
2020-08-14,1.1841,1.185,1.1781,1.1813,78128.0
2020-08-17,1.1869,1.188,1.1827,1.1838,86602.0
2020-08-18,1.1929,1.1965,1.1864,1.1869,105451.0
2020-08-19,1.1836,1.1952,1.1828,1.1929,110239.0
2020-08-20,1.1859,1.1868,1.18,1.1837,114055.0
2020-08-21,1.1795,1.1882,1.1753,1.1858,98561.0
2020-08-24,1.1787,1.1849,1.1782,1.1785,86280.0
2020-08-25,1.1833,1.1844,1.1782,1.1791,99433.0
2020-08-26,1.1829,1.184,1.177,1.1834,99767.0
2020-08-27,1.1821,1.19,1.1761,1.1829,104954.0
2020-08-28,1.1903,1.1919,1.1809,1.182,95958.0
2020-08-31,1.1936,1.1965,1.1882,1.1897,86897.0
2020-09-01,1.191,1.2011,1.1899,1.1934,103882.0
2020-09-02,1.1853,1.1929,1.182,1.1909,102487.0
2020-09-03,1.1849,1.1864,1.1787,1.185,106374.0
2020-09-04,1.1838,1.1864,1.1779,1.1848,99676.0
2020-09-07,1.1817,1.1848,1.181,1.1831,72678.0
2020-09-08,1.1779,1.1827,1.1764,1.1815,108807.0
2020-09-09,1.1802,1.1833,1.1751,1.1775,107963.0
2020-09-10,1.1813,1.1916,1.1799,1.1799,97149.0
2020-09-11,1.1845,1.1874,1.1811,1.1812,85263.0
2020-09-14,1.1868,1.1887,1.1828,1.1838,66103.0
2020-09-15,1.1845,1.1899,1.1838,1.1863,74092.0
2020-09-16,1.1814,1.1882,1.1785,1.1848,99172.0
2020-09-17,1.1847,1.1853,1.1735,1.1814,120765.0
2020-09-18,1.1837,1.187,1.1825,1.1848,101563.0
2020-09-21,1.1769,1.1871,1.173,1.1846,138822.0
2020-09-22,1.1706,1.1773,1.169,1.1769,126688.0
2020-09-23,1.1659,1.1718,1.1649,1.1707,138950.0
2020-09-24,1.1672,1.1687,1.1625,1.1659,137599.0
2020-09-25,1.163,1.1684,1.1611,1.1669,110259.0
2020-09-28,1.1664,1.1678,1.1613,1.1636,66525.0
2020-09-29,1.1742,1.1745,1.1659,1.1664,83243.0
2020-09-30,1.1718,1.1755,1.1683,1.1741,97738.0
2020-10-01,1.1747,1.1769,1.1715,1.1718,124502.0
2020-10-02,1.1713,1.175,1.1694,1.1746,133931.0
2020-10-05,1.1781,1.1797,1.1705,1.1714,89852.0
2020-10-06,1.1734,1.1807,1.173,1.178,116865.0
2020-10-07,1.176,1.1782,1.1723,1.1733,110951.0
2020-10-08,1.1758,1.1781,1.1731,1.176,123242.0
2020-10-09,1.1824,1.1831,1.1751,1.1757,80078.0
2020-10-12,1.1813,1.1826,1.1785,1.1818,93745.0
2020-10-13,1.1744,1.1816,1.1729,1.1811,109712.0
2020-10-14,1.1746,1.177,1.1718,1.1744,102001.0
2020-10-15,1.1706,1.1758,1.1686,1.1746,93652.0
2020-10-16,1.1718,1.1745,1.1692,1.1706,99825.0
2020-10-19,1.1766,1.1793,1.1701,1.1721,79034.0
2020-10-20,1.1821,1.184,1.1758,1.1768,80903.0
2020-10-21,1.1861,1.188,1.182,1.182,102146.0
2020-10-22,1.1816,1.1866,1.181,1.186,92339.0
2020-10-23,1.1859,1.1864,1.1785,1.1817,99235.0
2020-10-26,1.1808,1.1859,1.1801,1.1856,84548.0
2020-10-27,1.1795,1.1838,1.1791,1.1808,87253.0
2020-10-28,1.1744,1.1797,1.1716,1.1795,110988.0
2020-10-29,1.1674,1.1758,1.1648,1.1746,148266.0
2020-10-30,1.1647,1.1704,1.1638,1.1672,116352.0
2020-11-02,1.164,1.1656,1.1621,1.1656,87869.0
2020-11-03,1.1711,1.1739,1.1632,1.1639,89576.0
2020-11-04,1.1722,1.1768,1.1602,1.1713,143658.0
2020-11-05,1.1821,1.1859,1.1709,1.1723,124204.0
2020-11-06,1.1872,1.189,1.1793,1.1825,133317.0
2020-11-09,1.1813,1.1919,1.1793,1.1881,151736.0
2020-11-10,1.1814,1.1843,1.1778,1.1811,164323.0
2020-11-11,1.1777,1.1833,1.1744,1.1808,142791.0
2020-11-12,1.1804,1.1822,1.1757,1.1775,136876.0
2020-11-13,1.1832,1.1836,1.1797,1.1803,117641.0
2020-11-16,1.1853,1.1868,1.1812,1.1827,84284.0
2020-11-17,1.1861,1.1893,1.1841,1.1851,87185.0
2020-11-18,1.1852,1.1891,1.1847,1.1862,129048.0
2020-11-19,1.1873,1.1882,1.1815,1.1852,113767.0
2020-11-20,1.1853,1.189,1.1848,1.1874,103337.0
2020-11-23,1.184,1.1905,1.1799,1.1851,86128.0
2020-11-24,1.1888,1.1895,1.1835,1.184,96606.0
2020-11-25,1.1913,1.1929,1.188,1.1889,105993.0
2020-11-26,1.1913,1.194,1.1883,1.1915,78636.0
2020-11-27,1.1962,1.1964,1.1905,1.1912,72265.0
2020-11-30,1.1928,1.2003,1.1922,1.1957,74001.0
2020-12-01,1.207,1.2076,1.1925,1.1926,100325.0
2020-12-02,1.2115,1.2118,1.2038,1.2068,105233.0
2020-12-03,1.214,1.2175,1.2099,1.2113,132125.0
2020-12-04,1.212,1.2177,1.2109,1.214,131095.0
